epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,532.564,3.42905,5.52971,4.2949,4.0024,0.0832,0.1151,0.02019,0.00486,0.52589,0.09933,0.01795,0.00427,3.11859,4.45515,5.90019,3.70945,0.000473158,0.000473158,0.000473158
2,609.051,2.91972,3.92966,3.46251,3.32198,0.09118,0.23596,0.05901,0.01634,0.06974,0.17867,0.04961,0.01895,2.68696,3.89231,3.89622,3.12543,0.000940091,0.000940091,0.000940091
3,683.253,2.62578,3.79589,3.03635,3.0164,0.14894,0.16998,0.10541,0.03214,0.10759,0.10943,0.07009,0.02796,2.53333,4.34458,3.22631,3.03754,0.00139759,0.00139759,0.00139759
4,757.543,2.42655,3.63444,2.76167,2.82099,0.16719,0.23784,0.13609,0.03911,0.16709,0.22821,0.13625,0.05461,2.52655,3.46916,5.26628,3.1645,0.00138656,0.00138656,0.00138656
5,832.22,2.28714,3.51167,2.58791,2.65537,0.35106,0.22355,0.23399,0.0808,0.37721,0.20814,0.22371,0.08948,2.28261,3.7573,2.47832,2.74151,0.00137241,0.00137241,0.00137241
6,906.98,2.18407,3.39017,2.41958,2.54167,0.30799,0.32855,0.2561,0.08781,0.66534,0.30031,0.25884,0.11054,2.26933,3.38601,2.38914,2.76918,0.00135826,0.00135826,0.00135826
7,982.043,2.08048,3.29482,2.268,2.42731,0.25193,0.29993,0.24865,0.09939,0.29743,0.27066,0.24191,0.10749,2.14607,3.50782,2.60316,2.61611,0.00134412,0.00134412,0.00134412
8,1055.21,2.02114,3.21691,2.18712,2.36024,0.39017,0.38777,0.37586,0.15935,0.53244,0.26446,0.3103,0.13909,1.99035,3.33371,2.13223,2.42544,0.00132997,0.00132997,0.00132997
9,1128.09,1.97505,3.20089,2.13323,2.30079,0.34973,0.3887,0.34921,0.15307,0.34609,0.30667,0.30463,0.1457,1.99391,3.12339,2.06546,2.41935,0.00131582,0.00131582,0.00131582
10,1201.18,1.93944,3.16184,2.08645,2.2765,0.39685,0.43364,0.37721,0.16072,0.34141,0.34626,0.29453,0.14401,2.08314,3.27128,2.14177,2.44167,0.00130168,0.00130168,0.00130168
11,1273.17,1.90221,3.08324,1.97406,2.20597,0.42233,0.39204,0.38194,0.15987,0.36869,0.34903,0.32494,0.15379,1.96662,3.07825,2.29238,2.39885,0.00128753,0.00128753,0.00128753
12,1344.93,1.86703,3.02325,1.96544,2.15976,0.45029,0.45818,0.45086,0.20141,0.41411,0.40657,0.37849,0.18514,1.90446,3.11467,2.05224,2.31171,0.00127338,0.00127338,0.00127338
13,1417.8,1.84097,3.06141,1.90124,2.13071,0.5141,0.54396,0.53311,0.23545,0.46211,0.46795,0.42804,0.19277,1.81478,2.93463,1.78378,2.24135,0.00125923,0.00125923,0.00125923
14,1491.03,1.81111,2.97398,1.84761,2.10586,0.43057,0.56229,0.55331,0.25656,0.50316,0.42572,0.45663,0.21822,1.78405,2.86203,1.72441,2.16708,0.00124509,0.00124509,0.00124509
15,1563.42,1.75354,2.88625,1.77767,2.03248,0.45186,0.5044,0.48297,0.22568,0.43438,0.4429,0.41641,0.20061,1.89428,2.89923,1.92489,2.26136,0.00123094,0.00123094,0.00123094
16,1635.7,1.73802,2.92765,1.76465,2.01928,0.52581,0.46866,0.50392,0.21984,0.48428,0.39646,0.40217,0.18069,1.94302,3.10094,1.91257,2.28035,0.00121679,0.00121679,0.00121679
